id,salary
718,224768.68
719,130010.63
720,135772.75
722,171963.73
723,163888.09
725,167008.47
726,211714.65
727,154710.05
728,229095.6
731,158415.44
732,173818.17
733,156965.06
734,194613.16
735,166867.86
736,151136.14
737,249663.82
738,278553.57
741,253022.01
742,183417.69
743,189088.85
744,164117.18
749,139177.38
750,259249.3
751,118827.28
752,122705.75
753,276963.18
754,235772.49
758,114029.66
759,230671.26
760,259094.47
761,107594.9
762,105287.39
763,118824.39
765,201471.6
766,263060.59
767,123695.83
770,220154.0
772,132199.15
773,244880.86
774,275002.36
776,253657.82
780,195016.91
782,140881.67
783,283771.86
784,100729.54
785,194214.08
786,124094.94
787,263388.67
788,192076.79
790,219414.86
791,115823.79
797,165569.54
798,148078.98
799,142558.09
801,267475.37
803,143938.05
807,220075.67
808,180081.67
809,127504.76
811,136458.65
812,164299.53
813,275422.83
814,153240.76
817,275736.73
818,146426.94
819,237867.91
821,120076.81
822,132557.5
823,244637.47
824,211916.73
825,111687.53
827,279603.19
828,279697.41
830,210332.14
831,116000.44
832,239812.39
836,161925.71
838,233719.55
840,115582.17
845,281001.88
846,169116.59
850,191193.76
851,233389.42
852,263412.02
853,102625.87
858,173136.79
859,178314.08
860,240935.71
861,265408.34
863,241650.17
866,158751.06
867,170605.29
871,285036.95
872,170176.05
873,109649.51
875,144773.83
876,220585.61
879,250449.32
880,282503.77
881,159452.33
882,253692.7
884,187086.65
885,277684.02
888,261087.2
889,155424.22
890,168447.99
891,253326.32
892,134644.79
893,104687.68
894,109821.73
898,224108.97
899,170548.63
900,175184.97
902,202314.22
903,235757.92
904,229491.57
905,171213.1
907,143960.44
908,163675.1
909,164954.8
910,228448.32
912,224605.37
914,113948.38
915,124232.33
916,238104.48
917,282764.94
918,224817.58
920,149870.24
923,191618.3
926,123090.54
930,210297.79
932,279274.96
933,248210.26
934,111390.13
935,147568.54
941,152085.2
943,185554.08
945,249483.46
946,202742.29
947,226478.48
950,234295.06
952,150656.9
955,136296.33
956,141108.99
959,124538.92
960,222839.61
961,215783.39
964,188585.6
965,230451.15
966,176215.0
969,245220.16
971,126520.43
972,255985.99
973,161881.49
974,254305.28
975,123903.42
976,139790.85
978,267658.75
980,114074.93
982,186545.92
983,104324.94
985,239554.74
988,165473.43
989,261999.27
990,138836.75
991,124353.04
992,158522.84
993,166651.78
994,120933.54
995,275898.37
996,263399.54
1000,222561.13
